network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UMDS_0,UMDS_1,UMDS_2,average_depth,time_1,time_2
ER+ER,1000,2.9,8,331,339,232,240,571,555,503,1.3529411764705883,0.48404526710510254,0.0494382381439209
ER+ER,1000,2.9,9,331,339,218,226,557,558,503,1.2592592592592593,0.4843595027923584,0.038924217224121094
ER+ER,1000,3.0,0,305,328,209,232,537,526,481,1.125,0.4649372100830078,0.03059554100036621
ER+ER,1000,3.0,1,305,328,215,238,543,522,481,1.1290322580645162,0.47089123725891113,0.03170657157897949
ER+ER,1000,3.0,2,305,328,209,232,537,523,481,1.1428571428571428,0.45531654357910156,0.030529260635375977
ER+ER,1000,3.0,3,305,328,213,236,541,525,481,1.1333333333333333,0.4645364284515381,0.031513214111328125
ER+ER,1000,3.0,4,305,328,210,233,538,527,481,1.1578947368421053,0.4653282165527344,0.03144550323486328
ER+ER,1000,3.0,5,305,328,207,230,535,523,481,1.1481481481481481,0.46608495712280273,0.03072810173034668
ER+ER,1000,3.0,6,305,328,210,233,538,526,481,1.1754385964912282,0.47178101539611816,0.03177762031555176
ER+ER,1000,3.0,7,305,328,208,231,536,521,481,1.1454545454545455,0.4614863395690918,0.031102657318115234
ER+ER,1000,3.0,8,305,328,216,239,544,523,481,1.0793650793650793,0.46679115295410156,0.03104710578918457
ER+ER,1000,3.0,9,305,328,211,234,539,525,481,1.0862068965517242,0.46917104721069336,0.031152963638305664
ER+ER,1000,3.1,0,304,323,198,217,521,512,462,1.1355932203389831,0.4837017059326172,0.030572891235351562
ER+ER,1000,3.1,1,304,323,204,223,527,511,462,1.2307692307692308,0.4731729030609131,0.032762765884399414
ER+ER,1000,3.1,2,304,323,201,220,524,513,462,1.1935483870967742,0.4830968379974365,0.03147101402282715
ER+ER,1000,3.1,3,304,323,204,223,527,511,462,1.1384615384615384,0.481431245803833,0.03156328201293945
ER+ER,1000,3.1,4,304,323,205,224,528,508,462,1.1818181818181819,0.48421502113342285,0.03308439254760742
ER+ER,1000,3.1,5,304,323,200,219,523,511,462,1.2295081967213115,0.48169851303100586,0.03169536590576172
ER+ER,1000,3.1,6,304,323,199,218,522,512,462,1.1333333333333333,0.4712347984313965,0.030325651168823242
ER+ER,1000,3.1,7,304,323,195,214,518,513,462,1.3035714285714286,0.4824104309082031,0.0322878360748291
ER+ER,1000,3.1,8,304,323,201,220,524,510,462,1.1129032258064515,0.4804859161376953,0.0305635929107666
ER+ER,1000,3.1,9,304,323,201,220,524,514,462,1.2258064516129032,0.49021410942077637,0.03185725212097168
ER+ER,1000,3.2,0,293,283,213,203,496,486,439,1.2456140350877194,0.4964301586151123,0.048270225524902344
ER+ER,1000,3.2,1,293,283,213,203,496,486,439,1.2280701754385965,0.4986379146575928,0.03976893424987793
ER+ER,1000,3.2,2,293,283,220,210,503,489,439,1.25,0.4768195152282715,0.0400395393371582
ER+ER,1000,3.2,3,293,283,216,206,499,486,439,1.2,0.49152469635009766,0.03618907928466797
ER+ER,1000,3.2,4,293,283,209,199,492,484,439,1.1886792452830188,0.48253560066223145,0.04744362831115723
ER+ER,1000,3.2,5,293,283,210,200,493,483,439,1.2222222222222223,0.4887511730194092,0.03884315490722656
ER+ER,1000,3.2,6,293,283,224,214,507,484,439,1.2352941176470589,0.483959436416626,0.04321551322937012
ER+ER,1000,3.2,7,293,283,213,203,496,483,439,1.2456140350877194,0.4742875099182129,0.041695594787597656
ER+ER,1000,3.2,8,293,283,207,197,490,484,439,1.2549019607843137,0.48589396476745605,0.035275936126708984
ER+ER,1000,3.2,9,293,283,211,201,494,483,439,1.1636363636363636,0.49043774604797363,0.03686213493347168
ER+ER,1000,3.3,0,294,291,212,209,503,493,450,1.2075471698113207,0.4826343059539795,0.03482842445373535
ER+ER,1000,3.3,1,294,291,213,210,504,492,450,1.3148148148148149,0.48216772079467773,0.038199663162231445
ER+ER,1000,3.3,2,294,291,216,213,507,488,450,1.1754385964912282,0.489032506942749,0.03701305389404297
ER+ER,1000,3.3,3,294,291,214,211,505,492,450,1.2,0.48142337799072266,0.03792214393615723
