network_type,N,<k>,seq,MDS_1,MDS_2,Diff_MDS_1,Diff_MDS_2,UDS_0,UDS_1,UDS_2,average_depth,time_1,time_2
ER+ER,1000,3.0,9,336,325,211,200,536,525,471,1.1692307692307693,0.4842991828918457,0.03367161750793457
ER+ER,1000,3.1,0,314,293,229,208,522,511,452,1.3285714285714285,0.5140800476074219,0.03934955596923828
ER+ER,1000,3.1,1,314,293,240,219,533,511,452,1.2592592592592593,0.4969930648803711,0.04140186309814453
ER+ER,1000,3.1,2,314,293,228,207,521,506,452,1.2318840579710144,0.5022196769714355,0.038970947265625
ER+ER,1000,3.1,3,314,293,229,208,522,511,452,1.2714285714285714,0.5204312801361084,0.03943467140197754
ER+ER,1000,3.1,4,314,293,230,209,523,510,452,1.2816901408450705,0.5175008773803711,0.039832115173339844
ER+ER,1000,3.1,5,314,293,233,212,526,504,452,1.2972972972972974,0.4957597255706787,0.039383888244628906
ER+ER,1000,3.1,6,314,293,227,206,520,508,452,1.1911764705882353,0.5150883197784424,0.03634047508239746
ER+ER,1000,3.1,7,314,293,233,212,526,508,452,1.2972972972972974,0.5155758857727051,0.039556264877319336
ER+ER,1000,3.1,8,314,293,230,209,523,506,452,1.2394366197183098,0.5135679244995117,0.03919577598571777
ER+ER,1000,3.1,9,314,293,228,207,521,507,452,1.3478260869565217,0.51828932762146,0.03955364227294922
ER+ER,1000,3.2,0,287,284,206,203,490,476,435,1.1090909090909091,0.4981715679168701,0.03601574897766113
ER+ER,1000,3.2,1,287,284,194,191,478,479,435,1.0465116279069768,0.49847412109375,0.03368330001831055
ER+ER,1000,3.2,2,287,284,208,205,492,479,435,1.105263157894737,0.49982666969299316,0.036496877670288086
ER+ER,1000,3.2,3,287,284,210,207,494,477,435,1.1355932203389831,0.49888038635253906,0.03706765174865723
ER+ER,1000,3.2,4,287,284,206,203,490,480,435,1.2363636363636363,0.5087103843688965,0.04036378860473633
ER+ER,1000,3.2,5,287,284,215,212,499,478,435,1.109375,0.5097670555114746,0.040703773498535156
ER+ER,1000,3.2,6,287,284,213,210,497,478,435,1.1774193548387097,0.507354736328125,0.03834128379821777
ER+ER,1000,3.2,7,287,284,196,193,480,480,435,1.2444444444444445,0.49433255195617676,0.036164283752441406
ER+ER,1000,3.2,8,287,284,201,198,485,475,435,1.12,0.5023410320281982,0.03709769248962402
ER+ER,1000,3.2,9,287,284,212,209,496,481,435,1.0819672131147542,0.50006103515625,0.04240584373474121
ER+ER,1000,3.3,0,296,301,188,193,489,492,432,1.1929824561403508,0.519984245300293,0.034232139587402344
ER+ER,1000,3.3,1,296,301,194,199,495,484,432,1.2063492063492063,0.5232830047607422,0.037282466888427734
ER+ER,1000,3.3,2,296,301,199,204,500,491,432,1.25,0.5101428031921387,0.036013126373291016
ER+ER,1000,3.3,3,296,301,202,207,503,485,432,1.2112676056338028,0.5052394866943359,0.035566091537475586
ER+ER,1000,3.3,4,296,301,193,198,494,490,432,1.3064516129032258,0.5135409832000732,0.035881996154785156
ER+ER,1000,3.3,5,296,301,205,210,506,485,432,1.2162162162162162,0.5104267597198486,0.03755903244018555
ER+ER,1000,3.3,6,296,301,200,205,501,489,432,1.3333333333333333,0.5139126777648926,0.03851747512817383
ER+ER,1000,3.3,7,296,301,207,212,508,487,432,1.2236842105263157,0.5207295417785645,0.038111209869384766
ER+ER,1000,3.3,8,296,301,210,215,511,486,432,1.1772151898734178,0.5132889747619629,0.03635597229003906
ER+ER,1000,3.3,9,296,301,192,197,493,489,432,1.2950819672131149,0.5140271186828613,0.03542780876159668
ER+ER,1000,3.4,0,249,249,184,184,433,419,374,1.2372881355932204,0.5401327610015869,0.029683828353881836
ER+ER,1000,3.4,1,249,249,185,185,434,419,374,1.3166666666666667,0.5328989028930664,0.03027629852294922
ER+ER,1000,3.4,2,249,249,176,176,425,419,374,1.2745098039215685,0.525460958480835,0.029329776763916016
ER+ER,1000,3.4,3,249,249,179,179,428,422,374,1.2777777777777777,0.5385594367980957,0.028695344924926758
